t,u,v,theta
406.081216243249,402.935941927076,0.726412660489163,1.90538657350609
406.181236247249,403.008042533457,0.752530167083741,1.86104824166006
406.28125625125,403.080143139839,0.778647673678319,1.81670990981403
406.381276255251,403.15224374622,0.804765180272912,1.77237157796797
406.481296259252,403.234325669645,0.835586342831898,1.72212016075118
406.581316263253,403.322964616047,0.869497476393128,1.66798426251203
406.681336267253,403.411603562449,0.903408609954378,1.61384836427286
406.781356271254,403.500242508851,0.937319743515607,1.55971246603371
406.881376275255,403.594000887212,0.973262994698609,1.50500312621598
406.981396279256,403.698566305721,1.01349601414178,1.44908326026701
407.081416283257,403.803131724229,1.05372903358492,1.39316339431807
407.181436287257,403.907697142738,1.09396205302807,1.33724352836913
407.281456291258,404.012963851351,1.13441774311661,1.28145917944667
407.381476295259,404.135347762826,1.18030841451367,1.22898255213515
407.48149629926,404.257731674301,1.2261990859107,1.17650592482367
407.581516303261,404.380115585776,1.27208975730773,1.12402929751218
407.681536307261,404.503713066309,1.31823001406918,1.07199186113442
407.781556311262,404.644541672123,1.36791406312752,1.02619037313346
407.881576315263,404.785370277938,1.41759811218587,0.980388885132507
407.981596319264,404.926198883752,1.46728216124424,0.934587397131524
408.081616323265,405.073484792062,1.51737306420723,0.891568635610172
408.181636327265,405.232917744087,1.56822931340711,0.853784552225399
408.281656331266,405.392350696112,1.61908556260701,0.816000468840604
408.381676335267,405.551783648137,1.66994181180689,0.778216385455831
408.481696339268,405.724110073442,1.7192888020189,0.746225045384276
408.581716343269,405.901851146573,1.76800197497153,0.716666383017963
408.681736347269,406.079592219704,1.81671514792414,0.687107720651667
408.78175635127,406.258032625367,1.8651741767948,0.657864176766348
408.881776355271,406.452874930451,1.9076725996861,0.63601131098585
408.981796359272,406.647717235536,1.95017102257743,0.61415844520534
409.081816363273,406.842559540621,1.99266944546874,0.592305579424842
409.181836367273,407.041206631062,2.03228750466997,0.572254339230117
409.281856371274,407.250575530967,2.06378875627951,0.557280044103956
409.381876375275,407.459944430871,2.09529000788903,0.542305748977802
409.481896379276,407.669313330776,2.12679125949855,0.527331453851649
409.581916383277,407.881199506743,2.15409977697779,0.513910422972041
409.681936387277,408.100453652254,2.16913632404341,0.505035736383739
409.781956391278,408.319707797765,2.18417287110902,0.496161049795437
409.881976395279,408.538961943276,2.19920941817464,0.48728636320713
409.98199639928,408.758216088786,2.21424596524025,0.478411676618829
410.082016403281,408.978874838493,2.21027737417826,0.474333722804995
410.182036407281,409.199814699391,2.20250517991533,0.471215765599056
410.282056411282,409.420754560289,2.19473298565239,0.468097808393115
410.382076415283,409.641694421187,2.18696079138945,0.464979851187175
410.482096419284,409.862634282085,2.17918859712652,0.461861893981236
410.582116423285,410.074042680782,2.15265050295423,0.462887891051692
410.682136427285,410.278956151508,2.11332495123995,0.466737661009213
410.782156431286,410.483869622234,2.07399939952568,0.470587430966734
410.882176435287,410.68878309296,2.03467384781138,0.474437200924257
410.982196439288,410.893696563686,1.9953482960971,0.478286970881778
411.082216443289,411.098610034412,1.95602274438283,0.482136740839299
411.182236447289,411.303523505138,1.91669719266853,0.485986510796823
411.28225645129,411.508436975864,1.87737164095426,0.489836280754344
411.382276455291,411.681398618923,1.81321816658163,0.500556498166566
411.482296459292,411.853883581117,1.74869429099784,0.511379213967131
411.582316463293,412.026368543311,1.68417041541402,0.522201929767703
411.682336467293,412.198853505505,1.61964653983023,0.533024645568268
411.782356471294,412.368108681217,1.55412288717327,0.544488806704261
411.882376475295,412.506005514924,1.47889229210387,0.562180829129281
411.982396479296,412.643902348632,1.40366169703451,0.579872851554292
412.082416483297,412.781799182339,1.32843110196514,0.597564873979303
412.182436487297,412.919696016046,1.25320050689574,0.615256896404323
412.282456491298,413.050631604992,1.17798364134852,0.634409123774418
412.382476495299,413.153973837415,1.10282119761984,0.659349390068583
412.4824964993,413.257316069839,1.02765875389112,0.684289656362763
412.582516503301,413.360658302263,0.952496310162444,0.709229922656928
412.682536507301,413.464000534686,0.877333866433765,0.734170188951094
412.782556511302,413.53957196252,0.811470572482416,0.765069391365796
412.882576515303,413.615094792886,0.745623551560845,0.795979021609671
412.982596519304,413.690617623252,0.679776530639312,0.826888651853528
413.082616523305,413.758259581743,0.619700044572432,0.859274614543191
413.182636527305,413.813572263048,0.568651306305658,0.893970234366156
413.282656531306,413.868884944352,0.517602568038914,0.928665854189101
413.382676535307,413.92236627899,0.468791573830656,0.963586000153057
413.482696539308,413.963847318162,0.434643881978268,0.999977402260002
413.582716543309,414.005328357333,0.400496190125899,1.03636880436693
413.682736547309,414.046809396505,0.366348498273531,1.07276020647385
413.78275655131,414.080508122288,0.346325125844453,1.10948271816994
413.882776555311,414.113044749615,0.328410875597237,1.14625467299726
413.982796559312,414.145581376942,0.31049662535002,1.18302662782458
414.082816563313,414.178118004269,0.292582375102794,1.21979858265193
414.182836567313,414.206479741762,0.285161026067681,1.25657750878531
414.282856571314,414.234414123774,0.278813764981561,1.29335714852456
414.382876575315,414.262348505785,0.272466503895442,1.3301367882638
414.482896579316,414.289878579797,0.267706093752843,1.36691328692562
414.582916583317,414.316485113931,0.266570445255,1.40368261058645
414.682936587317,414.343091648064,0.265434796757157,1.44045193424727
414.782956591318,414.369698182197,0.264299148259313,1.47722125790812
414.882976595319,414.396322982056,0.265059413178626,1.51379020395904
414.98299659932,414.422952665714,0.266326598116074,1.55030557402872
415.083016603321,414.449582349372,0.267593783053523,1.58682094409843
415.183036607321,414.476465235619,0.269267395426569,1.62304769201641
415.283056611322,414.504020431219,0.272020163301803,1.65850808373945
415.383076615323,414.531575626819,0.274772931177037,1.69396847546251
415.483096619324,414.559130822419,0.27752569905227,1.72942886718555
415.583116623325,414.586686018019,0.280278466927503,1.76488925890859
415.683136627325,414.614702643226,0.28345581393725,1.79966474602593
415.783156631326,414.643830695689,0.287655827927287,1.83279053048965
415.883176635327,414.672958748153,0.291855841917322,1.86591631495335
415.983196639328,414.702086800617,0.296055855907357,1.89904209941705
416.083216643329,414.731214853081,0.300255869897394,1.93216788388076
416.183236647329,414.762553074147,0.305693596666486,1.96125436144974
416.28325665133,414.794030026521,0.311209014120623,1.99008729350714
416.383276655331,414.825506978895,0.316724431574763,2.01892022556455
416.483296659332,414.856983931269,0.322239849028901,2.04775315762195
416.583316663333,414.888460883643,0.327755266483038,2.07658608967934
416.683336667333,414.92225027391,0.334504872581885,2.10045165868762
416.783356671334,414.957131201604,0.341837051342246,2.12197248896841
416.883376675335,414.992012129298,0.349169230102606,2.14349331924921
416.983396679336,415.026893056992,0.356501408862967,2.16501414953
417.083416683337,415.061773984687,0.363833587623331,2.1865349798108
417.183436687337,415.09796184519,0.37182964618272,2.20501945326513
417.283456691338,415.137693564864,0.381625871129487,2.21527058763144
417.383476695339,415.177425284539,0.39142209607626,2.22552172199775
417.48349669934,415.217157004213,0.401218321023027,2.23577285636406
417.583516703341,415.256888723887,0.411014545969794,2.24602399073036
417.683536707341,415.296620443561,0.420810770916567,2.25627512509668
417.783556711342,415.338486332717,0.431696015574435,2.26169603458213
417.883576715343,415.38538368782,0.445148706557307,2.2557293236298
417.983596719344,415.432281042923,0.458601397540187,2.24976261267747
418.083616723345,415.479178398025,0.47205408852306,2.24379590172514
418.183636727345,415.526075753128,0.485506779505932,2.23782919077281
418.283656731346,415.572973108231,0.498959470488804,2.23186247982049
418.383676735347,415.619870463334,0.512412161471684,2.22589576886815
418.483696739348,415.675914023382,0.530540829376625,2.20266562151538
418.583716743349,415.733504188129,0.549460195492029,2.17651626209296
418.683736747349,415.791094352876,0.568379561607444,2.15036690267052
418.78375675135,415.848684517623,0.587298927722849,2.1242175432481
418.883776755351,415.906274682369,0.606218293838254,2.09806818382568
418.983796759352,415.963864847117,0.625137659953669,2.07191882440325
419.083816763353,416.021505015953,0.644082031934073,2.04570518153078
419.183836767353,416.092646058616,0.66977787231139,2.00213530317145
419.283856771354,416.163787101279,0.695473712688722,1.9585654248121
419.383876775355,416.234928143942,0.721169553066039,1.91499554645278
419.483896779356,416.306069186605,0.746865393443356,1.87142566809346
419.583916783357,416.377210229267,0.772561233820688,1.82785578973411
419.683936787357,416.457529432826,0.80251218108858,1.77845856201772
419.783956791358,416.544665484023,0.835623501735332,1.72473321746407
419.883976795359,416.631801535221,0.868734822382084,1.67100787291043
419.98399679936,416.718937586419,0.901846143028854,1.61728252835675
420.084016803361,416.806073637616,0.934957463675606,1.5635571838031
420.184036807361,416.895823968886,0.969134029245354,1.50953182495111
420.284056811362,417.001122558503,1.00964606875457,1.45372215084201
420.384076815363,417.106421148121,1.05015810826377,1.39791247673295
420.484096819364,417.211719737738,1.09067014777296,1.34210280262388
420.584116823365,417.317018327355,1.13118218728218,1.28629312851478
420.684136827365,417.434644292951,1.17555815188221,1.23301946144763
420.784156831366,417.558170179833,1.22178340329941,1.18095953540305
420.884176835367,417.681696066714,1.26800865471664,1.12889960935844
420.984196839368,417.805221953595,1.31423390613384,1.07683968331386
421.084216843369,417.942481850611,1.36315404285689,1.02980306134102
421.184236847369,418.08444159639,1.41299638316413,0.984485439805525
421.28425685137,418.226401342169,1.46283872347139,0.939167818270008
421.384276855371,418.36892821384,1.51271112137269,0.894095567836127
421.484296859372,418.529500651431,1.56353993177825,0.856830861455035
421.584316863373,418.690073089023,1.61436874218383,0.819566155073921
421.684336867373,418.850645526615,1.66519755258939,0.782301448692829
421.784356871374,419.018342878557,1.71509973260052,0.748237148953172
421.884376875375,419.197178261162,1.76355335656779,0.719175888625129
421.984396879376,419.376013643766,1.81200698053504,0.690114628297102
422.084416883377,419.554849026371,1.86046060450228,0.661053367969075
422.184436887378,419.74594640574,1.90422967408036,0.637520242797293
422.284456891378,419.941769701241,1.94619326192593,0.616117725194583
422.384476895379,420.137592996743,1.98815684977151,0.594715207591872
422.48449689938,420.333416292244,2.03012043761708,0.573312689989162
422.584516903381,420.542583550875,2.06153296352602,0.558274657007934
422.684536907381,420.752715875441,2.0921824125025,0.543696918111866
422.784556911382,420.962848200007,2.12283186147898,0.529119179215797
422.884576915383,421.172980524573,2.15348131045548,0.514541440319721
422.984596919384,421.391724980442,2.16888704182474,0.505454897597413
423.084616923385,421.611363125532,2.18271091782822,0.496938181629695
423.184636927385,421.831001270622,2.1965347938317,0.488421465661973
423.284656931386,422.050639415713,2.21035866983518,0.479904749694256
423.384676935387,422.27072255616,2.21373190071229,0.473979426250342
423.484696939388,422.491350433896,2.20431206312279,0.471226333953879
423.584716943389,422.711978311631,2.1948922255333,0.468473241657419
423.684736947389,422.932606189366,2.18547238794381,0.465720149360958
423.78475695139,423.153234067102,2.17605255035431,0.462967057064497
423.884776955391,423.371433854772,2.16227539437116,0.461185547408055
423.984796959392,423.574034976808,2.12050572127503,0.465645730742662
424.084816963393,423.776636098843,2.07873604817889,0.470105914077269
424.184836967393,423.979237220879,2.03696637508273,0.474566097411879
424.284856971394,424.181838342915,1.9951967019866,0.479026280746486
424.384876975395,424.38443946495,1.95342702889046,0.483486464081093
424.484896979396,424.587040586986,1.9116573557943,0.487946647415703
424.584916983397,424.789641709021,1.86988768269817,0.49240683075031
424.684936987397,424.985599304284,1.82333229314089,0.49825283468189
424.784956991398,425.153848516934,1.7568169534959,0.509878727616645
424.884976995399,425.322097729584,1.69030161385095,0.521504620551393
424.9849969994,425.490346942234,1.623786274206,0.533130513486141
425.085017003401,425.658596154884,1.55727093456102,0.544756406420896
425.185037007401,425.812544847286,1.48690421666573,0.559240892877463
425.285057011402,425.946418677168,1.41113098994822,0.577738231380827
425.385077015403,426.080292507051,1.33535776323071,0.596235569884191
425.485097019404,426.214166336933,1.25958453651315,0.614732908387566
425.585117023405,426.348040166815,1.18381130979564,0.63323024689093
425.685137027405,426.460324264393,1.10882497964099,0.656291038284931
425.785157031406,426.560391498881,1.03428392631687,0.68193412566995
425.885177035407,426.660458733369,0.959742872992797,0.707577213054954
425.985197039408,426.760525967857,0.885201819668721,0.733220300439957
426.085217043409,426.846765874854,0.815814214501175,0.761817042213328
426.185237047409,426.919850765645,0.751329486918748,0.793223826011895
426.28525705141,426.992935656436,0.68684475933632,0.824630609810462
426.385277055411,427.066020547227,0.622360031753856,0.856037393609046
426.485297059412,427.120553246605,0.572316744654778,0.890826294481452
426.585317063413,427.174165648997,0.522989837300834,0.925782968102717
426.685337067413,427.227778051389,0.473662929946891,0.960739641723982
426.785357071414,427.271924556435,0.436436676830157,0.996779717968439
426.885377075415,427.312275063041,0.404063007988891,1.0332542585344
426.985397079416,427.352625569646,0.371689339147624,1.06972879910036
427.085417083417,427.38942186234,0.346006339943178,1.10632935963412
427.185437087417,427.421290941716,0.329598628429433,1.14310462188224
427.285457091418,427.453160021091,0.313190916915687,1.17987988413036
427.385477095419,427.485029100466,0.296783205401931,1.21665514637851
427.48549709942,427.515476274007,0.284067803199498,1.25343238497153
427.585517103421,427.543118945769,0.278634942349129,1.29021352161651
427.685537107422,427.570761617531,0.273202081498757,1.3269946582615
427.785557111422,427.598404289293,0.267769220648388,1.36377579490647
427.885577115423,427.625059421839,0.266436197395651,1.40054881108807
427.985597119424,427.651633149555,0.26544113194396,1.43732115788365
428.085617123425,427.67820687727,0.264446066492269,1.47409350467925
428.185637127425,427.704795675799,0.265236362216128,1.51069001126845
428.285657131426,427.731386860058,0.266309283005202,1.54725868211748
428.385677135427,427.757978044317,0.267382203794277,1.58382735296653
428.485697139428,427.785082972268,0.269538206285744,1.6198302503213
428.585717143429,427.812314079747,0.271960222239599,1.65569418921541
428.68573714743,427.839545187226,0.274382238193455,1.69155812810954
428.78575715143,427.866776294705,0.27680425414731,1.72742206700365
428.885777155431,427.895081315601,0.280323777710165,1.76184233641454
428.985797159432,427.923476292735,0.283935233876678,1.79614167701064
429.085817163433,427.951871269869,0.287546690043189,1.83044101760672
429.185837167433,427.980350314949,0.291210603566945,1.86459912998343
429.285857171434,428.010718816525,0.296053514550426,1.89558308871198
429.385877175435,428.041087318102,0.300896425533911,1.92656704744055
429.485897179436,428.071455819679,0.305739336517392,1.9575510061691
429.585917183437,428.101824321255,0.310582247500874,1.98853496489766
429.685937187438,428.132192822832,0.315425158484359,2.01951892362623
429.785957191438,428.164760313554,0.321525074258129,2.04604099433989
429.885977195439,428.198053632701,0.328039894219798,2.07109031328871
429.98599719944,428.231346951847,0.334554714181471,2.09613963223754
430.086017203441,428.264640270994,0.34106953414314,2.12118895118636
430.186037207441,428.29793359014,0.34758435410481,2.14623827013518
430.286057211442,428.333813530798,0.355415742427526,2.16541358482809
430.386077215443,428.37122957734,0.364028995587669,2.18110052966605
430.486097219444,428.408645623882,0.372642248747812,2.196787474504
430.586117223445,428.446061670425,0.38125550190796,2.21247441934197
430.686137227445,428.483477716967,0.389868755068103,2.22816136417993
430.786157231446,428.520893763509,0.398482008228247,2.24384830901788
430.886177235447,428.56329837987,0.409638167580731,2.24794186408217
430.986197239448,428.606779606977,0.421343125534073,2.24953338580127
431.086217243449,428.650260834085,0.433048083487409,2.25112490752038
431.186237247449,428.693742061193,0.444753041440744,2.25271642923948
431.28625725145,428.737223288301,0.456457999394086,2.25430795095858
431.386277255451,428.780704515409,0.468162957347422,2.25589947267769
431.486297259452,428.829617173503,0.48264707587562,2.24614326634265
431.586317263453,428.88208853225,0.498952114263435,2.22895197203101
431.686337267453,428.934559890997,0.515257152651241,2.21176067771937
431.786357271454,428.987031249744,0.531562191039047,2.19456938340774
431.886377275455,429.039502608491,0.547867229426863,2.17737808909609
431.986397279456,429.091973967238,0.564172267814669,2.16018679478445
432.086417283457,429.144445325985,0.580477306202475,2.14299550047282
432.186437287457,429.20893599158,0.602853528156691,2.10735262415589
432.286457291458,429.274785108165,0.625915929890823,2.06962430562808
432.386477295459,429.34063422475,0.648978331624943,2.0318959871003
432.48649729946,429.406483341336,0.672040733359063,1.99416766857251
432.586517303461,429.472332457921,0.695103135093196,1.9564393500447
432.686537307461,429.538181574506,0.718165536827315,1.91871103151692
432.786557311462,429.604030691091,0.741227938561435,1.88098271298913
432.886577315463,429.684309799832,0.771307331911277,1.83069031051665
432.986597319464,429.765322219206,0.801743318286987,1.77975942007719
433.086617323465,429.84633463858,0.832179304662696,1.72882852963772
433.186637327466,429.927347057955,0.862615291038423,1.67789763919822
433.286657331466,430.01438631682,0.895648044250021,1.62506883383833
433.386677335467,430.110838196397,0.932736386022864,1.56927589556704
433.486697339468,430.207290075973,0.969824727795707,1.51348295729576
433.586717343469,430.30374195555,1.00691306956857,1.45769001902444
433.686737347469,430.400193835127,1.04400141134141,1.40189708075315
433.78675735147,430.511238626178,1.08636656606242,1.34710562732285
433.886777355471,430.625292115628,1.12981966945577,1.29252065536416
433.986797359472,430.739345605078,1.17327277284909,1.23793568340549
434.086817363473,430.853399094527,1.21672587624241,1.18335071144683
434.186837367474,430.979564954236,1.26334331502599,1.13240617832731
434.286857371474,431.111927865667,1.31157972265423,1.08332420284939
434.386877375475,431.244290777099,1.35981613028248,1.03424222737147
434.486897379476,431.376653688531,1.40805253791075,0.985160251893522
434.586917383477,431.524981873524,1.45838883680192,0.942581500630815
434.686937387477,431.67589594083,1.50906525336512,0.901056071280421
434.786957391478,431.826810008137,1.55974166992832,0.859530641930027
434.886977395479,431.981338882991,1.6103139119827,0.819613401121898
434.98699739948,432.150785217836,1.66045625035687,0.786332775935021
435.087017403481,432.320231552682,1.71059858873103,0.753052150748144
435.187037407482,432.489677887528,1.76074092710522,0.719771525561248
435.287057411482,432.66895710932,1.80852699689594,0.69091408975564
435.387077415483,432.856192359858,1.85440655228445,0.665635564401235
435.487097419484,433.043427610395,1.90028610767298,0.640357039046816
435.587117423485,433.230662860933,1.94616566306148,0.615078513692411
435.687137427485,433.431229061775,1.98473198946105,0.595893007278484
435.787157431486,433.634371181499,2.02188519194869,0.577884845478517
435.887177435487,433.837513301224,2.0590383944363,0.559876683678559
435.987197439488,434.040655420949,2.09619159692392,0.541868521878602
436.087217443489,434.255527707515,2.12013613242567,0.529977776704394
436.18723744749,434.470993444599,2.14341241739407,0.518396522785226
436.28725745149,434.686459181682,2.16668870236247,0.506815268866057
436.387277455491,434.901924918765,2.18996498733087,0.495234014946889
436.487297459492,435.12192409711,2.19841101035888,0.488024259642361
436.587317463493,435.343431821011,2.20192212313705,0.482269161943161
436.687337467493,435.564939544912,2.20543323591522,0.476514064243962
436.787357471494,435.786447268813,2.2089443486934,0.470758966544759
436.887377475495,436.007954992714,2.21245546147157,0.46500386884556
436.987397479496,436.223932604532,2.1900077657392,0.465052109740304
437.087417483497,436.439696027426,2.16655464928672,0.465325122001797
437.187437487498,436.65545945032,2.14310153283425,0.46559813426329
437.287457491498,436.871222873214,2.11964841638178,0.465871146524782
437.387477495499,437.086986296108,2.0961952999293,0.466144158786275
437.4874974995,437.302749719002,2.07274218347684,0.466417171047768
437.587517503501,437.499858772971,2.02617871997151,0.472002586439662
437.687537507501,437.693542335969,1.97537151680928,0.478563515344459
437.787557511502,437.887225898967,1.92456431364702,0.485124444249259
437.887577515503,438.080909461965,1.87375711048479,0.491685373154056
437.987597519504,438.274593024964,1.82294990732256,0.498246302058853
438.087617523505,438.460804926945,1.76801373463318,0.506308551921216
438.187637527506,438.620010702272,1.69815350774047,0.519797287786971
438.287657531506,438.779216477599,1.62829328084776,0.533286023652727
438.387677535507,438.938422252927,1.558433053955,0.54677475951849
438.487697539508,439.097628028254,1.48857282706229,0.560263495384245
438.587717543509,439.256833803581,1.41871260016957,0.573752231250001
438.68773754751,439.393605439091,1.34489775913762,0.591757214155462
438.78775755151,439.514694203946,1.2683183948148,0.612919336971239
438.887777555511,439.6357829688,1.19173903049197,0.634081459787015
438.987797559512,439.756871733654,1.11515966616914,0.655243582602792
439.087817563513,439.877960498509,1.03858030184627,0.67640570541858
439.187837567513,439.969641120457,0.966533866743194,0.703881214577599
439.287857571514,440.058627950546,0.89490264887658,0.731935031206921
439.387877575515,440.147614780636,0.823271431009925,0.759988847836258
439.487897579516,440.236177759643,0.75185889839064,0.788130109798365
439.587917583517,440.301054621113,0.692667177947827,0.821158089089281
439.687937587518,440.365931482583,0.633475457504981,0.854186068380216
439.787957591518,440.430808344053,0.574283737062168,0.887214047671132
439.887977595519,440.485304663833,0.5250172389729,0.921903379350128
439.98799759952,440.533244019237,0.482020098623102,0.95764211950396
440.088017603521,440.581183374641,0.439022958273328,0.993380859657771
440.188037607521,440.624461856166,0.402993304887362,1.02950709274306
440.288057611522,440.661073012908,0.376930558937594,1.06618762986943
440.388077615523,440.697684169649,0.350867812987811,1.10286816699583
440.488097619524,440.734295326391,0.324805067038043,1.1395487041222
440.588117623525,440.76499283362,0.311137792433235,1.17632805269581
440.688137627526,440.795252041737,0.298389227005727,1.21311472482986
440.788157631526,440.825511249854,0.285640661578227,1.2499013969639
440.888177635527,440.853432471195,0.279433663920567,1.28668672819245
440.988197639528,440.880998836024,0.27421953668563,1.32347185590018
441.088217643529,440.908565200853,0.269005409450697,1.36025698360789
441.188237647529,440.935390896039,0.267279541508092,1.39700425003635
441.28825765153,440.962037685027,0.266396250570862,1.43374237120337
441.388277655531,440.988684474015,0.265512959633633,1.47048049237037
441.488297659532,441.015331263003,0.264629668696404,1.50721861353737
441.588317663533,441.042092618975,0.265583868353158,1.54366163298774
441.688337667534,441.068905969169,0.267371980984006,1.5799707256844
441.788357671534,441.095719319364,0.269160093614854,1.61627981838106
441.888377675535,441.122532669558,0.270948206245702,1.65258891107772
441.988397679536,441.149962170188,0.273549734007465,1.68814520259177
442.088417683537,441.177856055288,0.2767643220411,1.72313411776849
442.188437687537,441.205749940387,0.279978910074736,1.75812303294521
442.288457691538,441.233643825486,0.283193498108373,1.79311194812194
442.388477695539,441.261699292169,0.286523909960731,1.82784823765564
442.48849769954,441.291381115926,0.291020116093817,1.86004179001267
442.588517703541,441.321062939683,0.295516322226906,1.89223534236973
442.688537707542,441.350744763439,0.300012528359993,1.92442889472676
442.788557711542,441.380426587196,0.30450873449308,1.9566224470838
